ros-noetic-rqt-pose-view	0.5.13-1focal.20250520.004134
ros-noetic-rqt-publisher	0.4.12-1focal.20250520.001359
ros-noetic-rqt-py-common	0.5.5-1focal.20250520.000903
ros-noetic-rqt-py-console	0.4.12-1focal.20250519.233341
ros-noetic-rqt-reconfigure	0.5.7-1focal.20250521.003225
ros-noetic-rqt-robot-dashboard	0.5.8-1focal.20250520.003750
ros-noetic-rqt-robot-monitor	0.5.15-1focal.20250520.001222
ros-noetic-rqt-robot-plugins	0.5.8-1focal.20250520.013008
ros-noetic-rqt-robot-steering	0.5.14-1focal.20250519.235722
ros-noetic-rqt-runtime-monitor	0.5.10-1focal.20250519.233325
ros-noetic-rqt-rviz	0.7.2-1focal.20250520.012319
ros-noetic-rqt-service-caller	0.4.12-1focal.20250520.001357
ros-noetic-rqt-shell	0.4.13-1focal.20250519.233725
ros-noetic-rqt-srv	0.4.11-1focal.20250520.001432
ros-noetic-rqt-tf-tree	0.6.5-1focal.20250520.001233
ros-noetic-rqt-top	0.4.11-1focal.20250519.233400
ros-noetic-rqt-topic	0.4.15-1focal.20250519.235732
ros-noetic-rqt-web	0.4.11-1focal.20250519.233405
ros-noetic-rviz	1.14.26-1focal.20250520.002916
ros-noetic-rviz-plugin-tutorials	0.11.2-1focal.20250520.022635
ros-noetic-rviz-python-tutorial	0.11.2-1focal.20250520.022649
ros-noetic-self-test	1.12.1-1focal.20250519.233601
ros-noetic-sensor-msgs	1.13.2-1focal.20250519.234916
ros-noetic-shape-msgs	1.13.2-1focal.20250426.012615
ros-noetic-simulators	1.5.0-1focal.20250521.012934
ros-noetic-smach	2.5.3-1focal.20250426.003520
ros-noetic-smach-msgs	2.5.3-1focal.20250426.060145
ros-noetic-smach-ros	2.5.3-1focal.20250520.000906
ros-noetic-smclib	1.8.7-1focal.20250426.010546
ros-noetic-stage	4.3.0-1focal.20250426.004649
ros-noetic-stage-ros	1.8.0-1focal.20250520.002057
ros-noetic-std-msgs	0.5.14-1focal.20250426.011621
ros-noetic-std-srvs	1.11.4-1focal.20250426.011617
ros-noetic-stereo-image-proc	1.17.0-1focal.20250521.005052
ros-noetic-stereo-msgs	1.13.2-1focal.20250520.005342
ros-noetic-tf	1.13.4-1focal.20250520.001125
ros-noetic-tf2	0.7.10-1focal.20250502.231751
ros-noetic-tf2-eigen	0.7.10-1focal.20250502.232642
ros-noetic-tf2-geometry-msgs	0.7.10-1focal.20250520.001448
ros-noetic-tf2-kdl	0.7.10-1focal.20250520.001448
ros-noetic-tf2-msgs	0.7.10-1focal.20250502.231510
